# 云笺破读词表 —— 项目自有，逐行公有领域依据。
#
# 为什么必须自己写：引擎自带的 G2P 是现代普通话 G2P，不会产出古典读音；而不存在一部
# 授权允许随包分发的现代权威读音辞书（见 .omo 方案 A8）。所以每一行的读音都只能自公有
# 领域韵书推得，**绝不从现代词典转录**。依据列因此是硬约束，不是注释。
#
# 列：字 <TAB> context <TAB> pinyin <TAB> 依据 <TAB> confidence
#   context      句片段，用于把读音限定在语境里；`*` 表示不限语境。
#   pinyin       带调拼音；`-` 表示本行只登记处置、不覆写读音。
#   依据         必须同时含卷次/部次定位符与所据版本，与集评 source_note 同一标准。
#   confidence   rhyme_attested 韵部实证 | tone_split 韵书调类分工 | engine_default 不覆写
#
# 依据列里的韵部不是写手记忆，是自 corpus.db 逐字读出的，可复现：
#   SELECT rhyme_book, tone_raw, rhyme_group FROM rhyme WHERE character = ?;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# 其 underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# engine_default 是**处置台账**而不是占位。它有两种真实理由，逐字判定而非统一措辞：
#   (a) 该字在本名册里不居韵脚位 —— 韵书给不出可据的约束，按 README 的约定回落到
#       引擎默认读音；
#   (b) 该字居韵脚位 —— 韵书确实把它限定在某几部之内，但「由韵部推定具体拼音」还需要
#       一张逐部对音表，v1 没有落地那张表，所以老实不覆写，而不是猜一个拼音填上。
# 少一个多音字，覆盖闭合检查就会失败。这正是我们要的：漏掉必须被看见，不能静默通过。
#
# v1 覆盖范围（诚实声明）：覆盖 data/reading_roster.tsv 列出的 22 首。**不是**唐诗三百首
# 与宋词三百首的完整覆盖 —— 那两个选本的收录名单在本仓库里并不存在（corpus.db 的
# poem_tag 表为空，且 sources.toml 没有宋词三百首资产），详见 reading_roster.tsv 的说明。
字	context	pinyin	依据	confidence
斜	石径斜	xiá	《平水韵》下平声部 六麻 收「斜」，同部并收 花、家、麻；六麻为 -a 韵类，故「石径斜」与「有人家」「二月花」同韵，读 xiá 不读 xié。据 chinese_word_rhyme 锁定版转录本。	rhyme_attested
衰	鬓毛衰	cuī	《词林正韵》平声 第三部 收「衰」，同部并收 催、崔、回；第三部为 -ui 韵类，故「鬓毛衰」与「老大回」「何处来」相押，读 cuī 不读 shuāi。据 chinese_word_rhyme 锁定版转录本。	rhyme_attested
骑	一骑	jì	《平水韵》去声部 四寘 与 上平声部 四支 兼收「骑」，去声为名词「一人一马」之义、平声为动词「乘」之义；「一骑红尘」是名词，取去声，读 jì 不读 qí。据 chinese_word_rhyme 锁定版转录本。	tone_split
中	*	-	《平水韵》上平声部 一东、去声部 一送；《词林正韵》仄声 第一部、平声 第一部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
乡	*	-	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
哉	*	-	《平水韵》上平声部 十灰；《词林正韵》平声 第五部、入声 第十八部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
思	*	-	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
深	*	-	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》平声 第十三部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
簪	*	-	《平水韵》下平声部 十三覃、下平声部 十二侵；《词林正韵》平声 第十三部、平声 第十四部，韵部兼收（韵类两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
花	*	-	《平水韵》下平声部 六麻、上声部 四纸；《词林正韵》平声 第十部，调类兼收（平仄两读）；据 chinese_word_rhyme 锁定版转录本。本名册内该字居韵脚位，韵书证据把它限定在上列诸部之内，但由韵部推定具体拼音尚需逐部对音表，本表 v1 未落地该表，故暂不覆写。	engine_default
