# 云笺多音字索引 —— 覆盖闭合检查的候选集来源。
#
# 为什么需要它。破读词表的「覆盖完整」如果拿词表自己当候选集，就是循环论证：漏掉的字
# 既不在词表里、也不在候选集里，检查永远通过。所以候选集必须来自词表之外的独立判据，
# 而那个判据是韵书：**同一个字兼收于多个声部（调类两读）或多个韵部（韵类两读）**，即为
# 本表所收的多音字。往朗读名册加一首诗时，这张表会立刻指出它引入了哪些字还没有处置。
#
# 为什么随仓而不是查库。语料库是 600 MB 级的构建产物，测试不该依赖它是否已构建；而本表
# 是它的一个投影，逐行带出处，体积在百 KB 级。于是覆盖检查在一台既没有模型也没有语料库
# 的机器上仍然成立——与 audio、models 两个模块同一条「判定层不依赖重资源」的原则。
#
# 列：字 <TAB> 兼收
#   兼收   该字在两部韵书里的全部声部与韵部，即它被判为多音字的依据本身。
#
# 全表由下面这条 SQL 自 corpus.db 派生，可逐字复现：
#   SELECT rhyme_book, tone_raw, rhyme_group, character FROM rhyme;
# 底本为 charlesix59/chinese_word_rhyme 锁定版（corpus/sources.toml 记许可与摘要），
# underlying_work 为公有领域的《平水韵》与《词林正韵》（清 戈载，1821）。
#
# 派生时的实测数字与两条取舍，写在这里是因为它们会影响「覆盖完整」这句话的含义：
#   * 韵书共收 CJK 基本区单字若干，其中判为多音的 1815 个：调类两读 1406 个、
#     仅韵类两读 409 个。本表就是这 1815 个。
#   * **只收基本区**（U+4E00–U+9FFF）。另有 156 个基本区外条目（扩展区罕用字如 𫄧、㛀，以及一个全角逗号）被排除——
#     它们是真字，不是垃圾，但朗读名册的正文全部落在基本区，收进来只会让覆盖检查去追一批
#     不会出现的字。名册若将来收入扩展区用字，这一条要一起放宽。
#   * 排除 3 个非字条目：一个空格与一对方括号（另有一个全角逗号落在扩展区那一档里）。
#     **这些是上游韵书 JSON 的解析残留**，与扩展区罕用字性质不同，不该被当成字。
字	兼收
丁	《平水韵》下平声部 九青、下平声部 八庚；《词林正韵》平声 第十一部
三	《平水韵》去声部 二十八勘、下平声部 十三覃；《词林正韵》仄声 第十四部、平声 第十四部
上	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
下	《平水韵》上声部 二十一马、去声部 二十二祃；《词林正韵》仄声 第十部
不	《平水韵》入声部 入声五物、下平声部 十一尤；《词林正韵》平声 第十二部、入声 第十八部
与	《平水韵》去声部 六御、上声部 六语、上平声部 六鱼；《词林正韵》仄声 第四部
且	《平水韵》上声部 二十一马、上平声部 六鱼；《词林正韵》仄声 第十部
业	《平水韵》入声部 入声十七洽、入声部 入声十五合；《词林正韵》入声 第十九部
两	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
严	《平水韵》下平声部 十五咸、下平声部 十四盐；《词林正韵》平声 第十四部
丧	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
中	《平水韵》上平声部 一东、去声部 一送；《词林正韵》仄声 第一部、平声 第一部
丰	《平水韵》上平声部 一东、上平声部 二冬；《词林正韵》平声 第一部
串	《平水韵》去声部 十七霰、去声部 十六谏；《词林正韵》仄声 第七部
临	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》平声 第十三部
为	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》仄声 第三部、平声 第三部
丽	《平水韵》去声部 八霁、上平声部 四支；《词林正韵》仄声 第三部
么	《平水韵》上声部 二十哿、下平声部 二萧、下平声部 五歌；《词林正韵》仄声 第九部、平声 第九部、平声 第八部
乎	《平水韵》上平声部 七虞；《词林正韵》入声 第十八部、平声 第四部
乐	《平水韵》入声部 入声三觉、入声部 入声十药、去声部 十九效；《词林正韵》入声 第十六部
乖	《平水韵》上平声部 九佳、上平声部 四支；《词林正韵》平声 第五部
乘	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部
乡	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
了	《平水韵》下平声部 二萧、下平声部 六麻、上声部 十七筱；《词林正韵》仄声 第八部、平声 第八部
予	《平水韵》上声部 六语、上平声部 六鱼；《词林正韵》仄声 第四部、平声 第四部
于	《平水韵》上平声部 七虞、上平声部 六鱼；《词林正韵》平声 第四部
些	《平水韵》去声部 二十一个、下平声部 五歌、去声部 八霁、下平声部 六麻；《词林正韵》仄声 第九部、平声 第十部
亟	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》入声 第十七部
亢	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
亩	《平水韵》上声部 七麌、上声部 二十五有；《词林正韵》仄声 第十二部、仄声 第四部
亲	《平水韵》上平声部 十一真、去声部 十二震；《词林正韵》平声 第六部
亹	《平水韵》上声部 五尾、上平声部 十三元
仆	《平水韵》去声部 七遇、去声部 二十六宥、入声部 入声一屋、入声部 入声二沃；《词林正韵》仄声 第十二部、入声 第十五部、仄声 第四部
从	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》仄声 第一部、平声 第一部
仑	《平水韵》上平声部 十一真、上平声部 十三元；《词林正韵》平声 第六部
仔	《平水韵》下平声部 十一尤、上平声部 四支、上声部 四纸；《词林正韵》仄声 第三部
仗	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
仙	《平水韵》下平声部 一先、上声部 十三阮；《词林正韵》平声 第七部
令	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》仄声 第十一部、平声 第十一部
仰	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
价	《平水韵》去声部 二十二祃、去声部 十卦；《词林正韵》仄声 第十部
任	《平水韵》去声部 二十七沁、下平声部 十二侵；《词林正韵》仄声 第十三部、平声 第十三部
企	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
伏	《平水韵》去声部 二十六宥、入声部 入声一屋、入声部 入声十三职；《词林正韵》入声 第十五部
优	《平水韵》上声部 二十五有、下平声部 十一尤；《词林正韵》平声 第十二部
伙	《平水韵》上声部 九蟹、上声部 二十哿；《词林正韵》仄声 第九部
伞	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
传	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
伥	《平水韵》下平声部 七阳、去声部 二十四敬
伴	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
佃	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
但	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
佛	《平水韵》入声部 入声五物、入声部 入声四质；《词林正韵》入声 第十八部
作	《平水韵》去声部 七遇、去声部 二十一个、入声部 入声十药；《词林正韵》仄声 第九部、入声 第十六部
佳	《平水韵》上平声部 九佳、上平声部 四支；《词林正韵》平声 第五部、平声 第十部
佻	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》平声 第八部
佼	《平水韵》下平声部 三肴、上声部 十八巧；《词林正韵》仄声 第八部
使	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
侃	《平水韵》去声部 十五翰、上声部 十四旱；《词林正韵》仄声 第七部
侄	《平水韵》入声部 入声九屑、入声部 入声四质；《词林正韵》入声 第十七部
侐	《平水韵》入声部 入声十三职、去声部 四寘
侗	《平水韵》上平声部 一东、上声部 一董
侘	《平水韵》去声部 二十二祃、下平声部 六麻；《词林正韵》仄声 第十部
供	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》仄声 第一部、平声 第一部
侥	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》仄声 第八部、平声 第八部
侦	《平水韵》去声部 二十四敬、下平声部 八庚；《词林正韵》平声 第十一部
侲	《平水韵》上平声部 十一真、去声部 十二震
便	《平水韵》下平声部 一先、去声部 十七霰；《词林正韵》仄声 第七部、平声 第七部
俎	《平水韵》去声部 六御、上声部 六语；《词林正韵》仄声 第四部
俸	《平水韵》上声部 一董、去声部 二宋；《词林正韵》仄声 第一部
俾	《平水韵》上平声部 四支、上声部 四纸
倅	《平水韵》入声部 入声六月、去声部 十一队
倒	《平水韵》去声部 二十号、上声部 十九皓；《词林正韵》仄声 第八部
倕	《平水韵》去声部 四寘、上平声部 四支
倚	《平水韵》去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部
借	《平水韵》去声部 二十二祃、入声部 入声十一陌；《词林正韵》仄声 第十部
倩	《平水韵》去声部 二十四敬、去声部 十七霰；《词林正韵》仄声 第七部
倪	《平水韵》上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
倭	《平水韵》下平声部 五歌、上平声部 四支；《词林正韵》平声 第九部
值	《平水韵》入声部 入声十三职、去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部
假	《平水韵》上声部 二十一马、去声部 二十二祃、入声部 入声十一陌；《词林正韵》仄声 第十部
偈	《平水韵》入声部 入声九屑、去声部 八霁
偲	《平水韵》上平声部 十灰、上平声部 四支
偻	《平水韵》上声部 七麌、去声部 二十六宥、下平声部 十一尤；《词林正韵》平声 第十二部、仄声 第四部
偿	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》平声 第二部
傀	《平水韵》上平声部 十灰、上声部 十贿、上声部 四纸；《词林正韵》仄声 第三部、平声 第三部
傍	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
傥	《平水韵》去声部 二十三漾、上声部 二十二养
傧	《平水韵》上平声部 十一真、去声部 十二震
傩	《平水韵》上声部 二十哿、下平声部 五歌
僄	《平水韵》下平声部 二萧、去声部 十八啸
僎	《平水韵》上平声部 十一真、去声部 十七霰、上声部 十六铣
僚	《平水韵》下平声部 二萧、上声部 十七筱；《词林正韵》平声 第八部
僝	《平水韵》上平声部 十五删、上声部 十五潸
僾	《平水韵》去声部 十一队、上声部 十贿
儆	《平水韵》上声部 二十三梗、去声部 二十四敬；《词林正韵》仄声 第十一部
儗	《平水韵》去声部 十一队、去声部 四寘、上声部 四纸
儡	《平水韵》上平声部 十灰、上声部 十贿；《词林正韵》仄声 第三部、平声 第三部
儳	《平水韵》去声部 三十陷、下平声部 十五咸
儿	《平水韵》入声部 入声三觉、上平声部 八齐、上平声部 四支；《词林正韵》平声 第三部
允	《平水韵》上声部 十一轸、去声部 十二震；《词林正韵》仄声 第六部
共	《平水韵》上平声部 二冬、去声部 二宋；《词林正韵》仄声 第一部
兴	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部
其	《平水韵》去声部 四寘、上平声部 四支；《词林正韵》平声 第三部
养	《平水韵》去声部 二十三漾、上声部 二十二养；《词林正韵》仄声 第二部
兼	《平水韵》去声部 二十九艳、下平声部 十四盐；《词林正韵》平声 第十四部
冒	《平水韵》去声部 二十号、入声部 入声十三职；《词林正韵》仄声 第八部
冓	《平水韵》去声部 二十六宥、下平声部 十一尤
冠	《平水韵》去声部 十五翰、上平声部 十四寒；《词林正韵》仄声 第七部、平声 第七部
冢	《平水韵》上平声部 一东、上声部 二肿；《词林正韵》仄声 第一部
冥	《平水韵》下平声部 九青、上声部 二十四迥；《词林正韵》平声 第十一部
冯	《平水韵》上平声部 一东、下平声部 十蒸；《词林正韵》平声 第一部、平声 第十一部
冲	《平水韵》上平声部 一东、上平声部 二冬；《词林正韵》平声 第一部
准	《平水韵》入声部 入声九屑、上声部 十一轸；《词林正韵》仄声 第六部
凌	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》平声 第十一部
凝	《平水韵》去声部 二十五径、下平声部 十蒸；《词林正韵》平声 第十一部
几	《平水韵》上声部 五尾、上平声部 五微、去声部 四寘、上声部 四纸；《词林正韵》仄声 第三部、平声 第三部
凭	《平水韵》下平声部 十蒸；《词林正韵》仄声 第十一部、平声 第十一部
凸	《平水韵》入声部 入声九屑、入声部 入声六月；《词林正韵》入声 第十八部
出	《平水韵》入声部 入声四质、去声部 四寘；《词林正韵》入声 第十七部
函	《平水韵》下平声部 十三覃、下平声部 十五咸；《词林正韵》平声 第十四部
凿	《平水韵》去声部 二十号、入声部 入声十药；《词林正韵》入声 第十六部
分	《平水韵》去声部 十三问、上平声部 十二文；《词林正韵》仄声 第六部、平声 第六部
切	《平水韵》入声部 入声九屑、去声部 八霁；《词林正韵》入声 第十八部
划	《平水韵》入声部 入声十一陌、下平声部 六麻；《词林正韵》入声 第十七部、平声 第十部
刖	《平水韵》入声部 入声八黠、入声部 入声六月
创	《平水韵》下平声部 七阳、去声部 二十三漾；《词林正韵》仄声 第二部、平声 第二部
刨	《平水韵》下平声部 三肴、去声部 十九效；《词林正韵》仄声 第八部、平声 第八部
刭	《平水韵》去声部 二十五径、上声部 二十四迥；《词林正韵》仄声 第十一部
刷	《平水韵》入声部 入声九屑、入声部 入声八黠；《词林正韵》入声 第十八部
刺	《平水韵》去声部 四寘；《词林正韵》仄声 第三部、入声 第十七部、入声 第十八部
剂	《平水韵》去声部 八霁、上平声部 四支；《词林正韵》仄声 第三部
剌	《平水韵》入声部 入声七曷、入声部 入声十一陌
剑	《平水韵》去声部 三十陷、去声部 二十九艳；《词林正韵》仄声 第十四部
剖	《平水韵》上声部 七麌、上声部 二十五有；《词林正韵》仄声 第十二部
剞	《平水韵》上平声部 四支、上声部 四纸
剟	《平水韵》入声部 入声七曷、入声部 入声九屑、入声部 入声五物
副	《平水韵》去声部 七遇、去声部 二十六宥、入声部 入声一屋、入声部 入声十三职；《词林正韵》仄声 第十二部、入声 第十五部、仄声 第四部
剸	《平水韵》下平声部 一先、去声部 十七霰、上声部 十六铣、上平声部 十四寒
剽	《平水韵》下平声部 二萧、去声部 十八啸；《词林正韵》平声 第八部
剿	《平水韵》下平声部 三肴、上声部 十七筱、去声部 十八啸；《词林正韵》仄声 第八部
劘	《平水韵》下平声部 五歌、上平声部 四支
劫	《平水韵》入声部 入声十七洽、入声部 入声十五合；《词林正韵》入声 第十九部
劭	《平水韵》下平声部 二萧、去声部 十八啸
